Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,-1.600E-02,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,2.000E-01,
Vertical Position,1.600E-02,
Horizontal Units,S,
Horizontal Scale,5.000E-04,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,5.000E-07,
Horizontal Old Scale,5.000E-04,
Horizontal Old Position,0.000E+00,
Firmware,V1.23,
Mode,Fast,
Waveform Data,
-65,
-61,
-65,
-63,
-61,
-63,
-63,
-63,
-63,
-63,
-63,
-63,
-65,
-65,
-62,
-63,
-66,
-63,
-63,
-63,
-63,
-62,
-65,
-62,
-65,
-62,
-65,
-63,
-63,
-65,
-63,
-62,
-63,
-65,
-62,
-62,
-65,
-63,
-62,
-63,
-66,
-65,
-63,
-66,
-62,
-63,
-63,
-62,
-65,
-65,
-63,
-63,
-66,
-63,
-63,
-65,
-63,
-65,
-63,
-65,
-65,
-63,
-63,
-63,
-66,
-65,
-63,
-66,
-63,
-65,
-63,
-65,
-61,
-62,
-63,
-65,
-63,
-63,
-62,
-65,
-65,
-65,
-62,
-63,
-65,
-62,
-63,
-63,
-62,
-62,
-65,
-63,
-63,
-65,
-65,
-62,
-65,
-65,
-63,
-63,
-66,
-63,
-65,
-65,
-63,
-63,
-63,
-65,
-65,
-63,
-65,
-65,
-63,
-63,
-62,
-65,
-65,
-63,
-65,
-65,
-63,
-65,
-63,
-65,
-65,
-66,
-62,
-63,
-63,
-63,
-65,
-66,
-65,
-65,
-63,
-65,
-65,
-65,
-63,
-62,
-63,
-65,
-66,
-62,
-63,
-62,
-63,
-65,
-63,
-65,
-62,
-65,
-65,
-62,
-63,
-65,
-65,
-63,
-63,
-63,
-63,
-62,
-63,
-63,
-63,
-63,
-65,
-65,
-62,
-65,
-66,
-63,
-65,
-62,
-63,
-63,
-63,
-65,
-62,
-65,
-62,
-62,
-63,
-65,
-63,
-62,
-65,
-65,
-63,
-63,
-63,
-63,
-63,
-63,
-62,
-63,
-63,
-62,
-65,
-63,
-63,
-62,
-63,
-63,
-63,
-63,
-63,
-63,
-62,
-63,
-65,
-63,
-63,
-63,
-65,
-65,
-63,
-65,
-62,
-63,
-65,
-63,
-65,
-63,
-62,
-63,
-65,
-65,
-65,
-63,
-63,
-65,
-62,
-63,
-65,
-65,
-63,
-65,
-65,
-66,
-65,
-66,
-63,
-65,
-66,
-63,
-65,
-63,
-63,
-63,
-62,
-65,
-63,
-63,
-63,
-65,
-65,
-63,
-63,
-63,
-63,
-65,
-65,
-63,
-63,
-62,
-63,
-65,
-65,
-65,
-62,
-62,
-65,
-65,
-65,
-62,
-63,
-65,
-65,
-63,
-65,
-62,
-65,
-63,
-63,
-65,
-63,
-65,
-65,
-63,
-65,
-63,
-65,
-63,
-63,
-63,
-65,
-65,
-63,
-66,
-63,
-65,
-65,
-63,
-63,
-63,
-62,
-63,
-63,
-63,
-63,
-63,
-65,
-65,
-65,
-65,
-63,
-65,
-65,
-63,
-63,
-65,
-65,
-63,
-65,
-65,
-63,
-65,
-66,
-65,
-65,
-65,
-63,
-65,
-63,
-63,
-63,
-63,
-65,
-63,
-63,
-63,
-65,
-63,
-63,
-65,
-66,
-66,
-62,
-66,
-65,
-65,
-63,
-66,
-65,
-65,
-63,
-63,
-65,
-63,
-65,
-63,
-65,
-65,
-65,
-65,
-62,
-63,
-63,
-63,
-63,
-65,
-65,
-65,
-65,
-63,
-63,
-65,
-65,
-65,
-65,
-66,
-63,
-63,
-65,
-66,
-63,
-62,
-65,
-63,
-65,
-63,
-63,
-63,
-63,
-63,
-63,
-65,
-62,
-63,
-65,
-65,
-66,
-65,
-62,
-63,
-65,
-65,
-63,
-63,
-63,
-63,
-63,
-63,
-65,
-62,
-65,
-65,
-62,
-65,
-63,
-63,
-63,
-63,
-63,
-63,
-63,
-62,
-63,
-65,
-63,
-65,
-65,
-61,
-63,
-65,
-65,
-63,
-65,
-63,
-63,
-63,
-63,
-65,
-65,
-65,
-63,
-65,
-61,
-62,
-65,
-63,
-63,
-65,
-65,
-65,
-62,
-66,
-63,
-65,
-65,
-65,
-65,
-66,
-63,
-65,
-63,
-66,
-62,
-63,
-63,
-65,
-63,
-63,
-65,
-65,
-65,
-63,
-63,
-63,
-65,
-65,
-63,
-65,
-63,
-65,
-65,
-63,
-63,
-65,
-63,
-65,
-63,
-63,
-62,
-65,
-65,
-63,
-63,
-65,
-63,
-63,
-65,
-63,
-65,
-65,
-63,
-63,
-63,
-66,
-65,
-65,
-65,
-63,
-63,
-63,
-63,
-63,
-62,
-62,
-65,
-63,
-65,
-63,
-63,
-62,
-65,
-63,
-63,
-63,
-62,
-63,
-63,
-62,
-63,
-65,
-66,
-63,
-63,
-63,
-65,
-63,
-62,
-65,
-65,
-63,
-63,
-65,
-63,
-63,
-65,
-66,
-63,
-65,
-65,
-65,
-62,
-63,
-63,
-65,
-63,
-63,
-65,
-63,
-65,
-65,
-65,
-63,
-65,
-63,
-65,
-63,
-63,
-65,
-63,
-66,
-63,
-63,
-65,
-65,
-63,
-63,
-65,
-63,
-65,
-65,
-65,
-63,
-65,
-63,
-65,
-65,
-65,
-63,
-62,
-63,
-62,
-63,
-65,
-63,
-63,
-66,
-65,
-65,
-65,
-65,
-65,
-62,
-63,
-63,
-63,
-65,
-63,
-65,
-63,
-63,
-65,
-63,
-63,
-65,
-63,
-62,
-65,
-65,
-63,
-65,
-63,
-65,
-63,
-65,
-63,
-63,
-65,
-63,
-63,
-66,
-65,
-65,
-63,
-63,
-63,
-63,
-65,
-63,
-63,
-65,
-62,
-63,
-65,
-63,
-65,
-63,
-63,
-63,
-63,
-62,
-66,
-65,
-65,
-63,
-63,
-63,
-63,
-63,
-63,
-63,
-63,
-65,
-62,
-63,
-65,
-65,
-63,
-63,
-65,
-63,
-63,
-63,
-63,
-63,
-63,
-63,
-62,
-63,
-63,
-63,
-66,
-62,
-63,
-63,
-63,
-62,
-65,
-65,
-63,
-65,
-63,
-65,
-63,
-65,
-65,
-63,
-63,
-63,
-62,
-65,
-65,
-63,
-65,
-63,
-65,
-66,
-65,
-65,
-63,
-66,
-66,
-65,
-65,
-63,
-65,
-65,
-65,
-65,
-63,
-63,
-63,
-65,
-66,
-65,
-65,
-66,
-65,
-63,
-66,
-63,
-65,
-62,
-63,
-65,
-63,
-65,
-65,
-65,
-65,
-63,
-65,
-66,
-65,
-66,
-65,
-63,
-66,
-63,
-65,
-62,
-63,
-63,
-65,
-65,
-63,
-63,
-63,
-65,
-62,
-65,
-65,
-63,
-63,
-63,
-63,
-63,
-63,
-63,
-63,
-63,
-62,
-63,
-63,
-65,
-63,
-65,
-65,
-63,
-65,
-66,
-65,
-65,
-63,
-62,
-63,
-65,
-63,
-62,
-65,
-63,
-63,
-65,
-62,
-63,
-62,
-63,
-65,
-63,
-63,
-65,
-66,
-65,
-63,
-65,
-63,
-63,
-63,
-63,
-63,
-65,
-63,
-62,
-63,
-65,
-63,
-65,
-65,
-63,
-63,
-62,
-63,
-65,
-63,
-65,
-63,
-63,
-63,
-63,
-63,
-66,
-63,
-63,
-65,
-63,
-65,
-65,
-65,
-63,
-62,
-63,
-65,
-65,
-62,
-63,
-66,
-65,
-63,
-63,
-63,
-65,
-65,
-65,
-63,
-63,
-62,
-63,
-65,
-63,
-63,
-65,
-63,
-65,
-63,
-62,
-65,
-63,
-63,
-63,
-63,
-63,
-63,
-65,
-65,
-65,
-65,
-66,
-62,
-65,
-65,
-65,
-65,
-63,
-63,
-63,
-63,
-63,
-63,
-63,
-62,
-65,
-65,
-63,
-63,
